Item, Full Name, Kaha Use Hota Hai, Function
Ball Valve,Ball Valve,"Plumbing, Water Supply, Bathroom",Quick ON/OFF Flow Control,
Gate Valve,Gate Valve,"Main Water Line, Fire Fighting",Main Isolation Valve,
Butterfly Valve,Butterfly Valve,"Fire Fighting, HVAC, Large Water Line",ON/OFF for Large Diameter Pipes,
Globe Valve,Globe Valve,"Steam Line, Hot Water Line",Flow Regulation,
Check Valve,Non Return Valve (NRV),"Pump Outlet, Water Supply",Prevents Reverse Flow,
Foot Valve,Foot Valve,Pump Suction Line,Keeps Pump Primed,
Needle Valve,Needle Valve,"Pressure Gauge, Instrument Line",Precise Flow Control,
Plug Valve,Plug Valve,"Oil, Gas, Chemical Plant",Quick ON/OFF,
Diaphragm Valve,Diaphragm Valve,"Chemical, Water Treatment",Leak-Free Flow Control,
Pinch Valve,Pinch Valve,"Slurry, Sewage, Chemical",Controls Thick Fluids,
Piston Valve,Piston Valve,"Steam, High Pressure Line",Flow Shut Off,
Relief Valve,Pressure Relief Valve,"Boiler, Pump, Compressor",Releases Excess Pressure,
Safety Valve,Safety Valve,"Boiler, Pressure Vessel",Protects from Over Pressure,
Pressure Reducing Valve,PRV,High Rise Building Water Supply,Reduces Water Pressure,
Pressure Sustaining Valve,Pressure Sustaining Valve,Water Distribution,Maintains Upstream Pressure,
Control Valve,Control Valve,"HVAC, Process Plant",Automatic Flow Control,
Solenoid Valve,Solenoid Valve,"RO Plant, Sensor Tap, Irrigation",Electrically Operated Valve,
Float Valve,Float Valve,"Overhead Tank, Water Tank",Automatic Water Level Control,
Air Release Valve,Air Valve,Water Pipeline,Removes Trapped Air,
Vacuum Breaker Valve,Vacuum Breaker,Water Supply System,Prevents Back Siphonage,
Angle Valve,Angle Valve,"Wash Basin, Sink",Fixture Water Control,
Angle Cock,Angle Cock,Bathroom Plumbing,ON/OFF Water Supply,
Bib Cock Valve,Bib Cock,"Garden, Outdoor Tap",Water Outlet Control,
Stop Valve,Stop Valve,House Water Line,Isolates Water Supply,
Flush Valve,Flush Valve,"WC, Urinal",Flush Water Control,
Mixing Valve,Mixing Valve,"Shower, Hot Water System",Mixes Hot & Cold Water,
Thermostatic Mixing Valve,TMV,"Hotel, Hospital Bathroom",Maintains Constant Temperature,
Balancing Valve,Balancing Valve,HVAC System,Balances Water Flow,
Drain Valve,Drain Valve,"Tank, Pipeline",Drain Water,
Bleed Valve,Bleed Valve,"Hydraulic, HVAC",Releases Air/Pressure,
Sampling Valve,Sampling Valve,Chemical Plant,Takes Fluid Sample,
Knife Gate Valve,Knife Gate Valve,"Sewage, Slurry",Cuts Through Thick Slurry,
Steam Trap,Steam Trap,Steam Line,Removes Condensate,
Motorized Valve,Motorized Valve,"BMS, HVAC",Automatic Electric Operation,
Actuated Butterfly Valve,Pneumatic/Electric Butterfly Valve,"Fire Fighting, HVAC",Remote ON/OFF,
Actuated Ball Valve,Pneumatic/Electric Ball Valve,Process Plant,Automatic Flow Control,
Flow Control Valve,Flow Control Valve,"Water Supply, HVAC",Adjusts Flow Rate,
Metering Valve,Metering Valve,Chemical Dosing,Accurate Flow Adjustment,
